,Date,btc_close,link_close,zrx_close,yfi_close,uni_close,omg_close,eth_close,xrp_close,cake_close,comp_close,fil_close,vet_close,trx_close,doge_close,ada_close,zil_close,celo_close,crv_close,dot_close,algo_close,grt_close,rune_close,rvn_close,ftm_close
94,2020-04-05,6772.78,2.2635,0.1536,,,0.5416,142.68,0.17925,,,,0.00323,0.01257,0.00185,0.0319,0.00433,,,,0.1718,,,0.01543,0.00317
95,2020-04-06,7329.9,2.5555,0.1692,,,0.599,171.32,0.19803,,,,0.003643,0.01375,0.0019896,0.03592,0.00471,,,,0.1876,,,0.01701,0.00337
96,2020-04-07,7197.32,2.7303,0.1695,,,0.6005,164.63,0.19285,,,,0.003872,0.0133,0.0019943,0.03525,0.00454,,,,0.1856,,,0.01654,0.0034
97,2020-04-08,7361.28,3.1693,0.1773,,,0.6238,173.11,0.20192,,,,0.003979,0.01376,0.0020038,0.03639,0.00463,,,,0.2039,,,0.01726,0.00348
98,2020-04-09,7283.54,3.3099,0.19,,,0.608,169.52,0.19829,,,,0.003866,0.01345,0.0020151,0.03607,0.00464,,,,0.2,,,0.01821,0.00382
99,2020-04-10,6858.92,3.22,0.169,,,0.5556,157.81,0.18758,,,,0.003608,0.01248,0.001965,0.03321,0.00417,,,,0.1786,,,0.0163,0.00323
100,2020-04-11,6876.83,3.29,0.1715,,,0.5631,158.33,0.1885,,,,0.003679,0.0125,0.0019645,0.03343,0.00426,,,,0.1795,,,0.01656,0.0033
101,2020-04-12,6903.79,3.4189,0.1682,,,0.5646,158.59,0.18939,,,,0.003681,0.01266,0.0019673,0.03347,0.00423,,,,0.1773,,,0.01664,0.00336
102,2020-04-13,6837.91,3.3702,0.1673,,,0.5548,156.29,0.18763,,,,0.003609,0.01257,0.0019533,0.03311,0.00411,,,,0.1755,,,0.01608,0.00326
103,2020-04-14,6868.7,3.252,0.1707,,,0.5523,158.45,0.18613,,,,0.003667,0.01245,0.0019656,0.03312,0.00414,,,,0.1783,,,0.01628,0.00324
104,2020-04-15,6621.24,3.1212,0.1637,,,0.5256,152.73,0.1805,,,,0.003658,0.01219,0.0019061,0.03185,0.004,,,,0.1687,,,0.01552,0.00296
105,2020-04-16,7101.94,3.4851,0.1732,,,0.5643,172.29,0.19053,,,,0.003828,0.01302,0.001995,0.03446,0.00428,,,,0.1857,,,0.01696,0.00314
106,2020-04-17,7027.55,3.4523,0.1722,,,0.5685,170.69,0.18863,,,,0.003783,0.01289,0.001983,0.03432,0.0042,,,,0.1878,,,0.01664,0.00311
107,2020-04-18,7248.6,3.7805,0.1791,,,0.5959,187.4,0.19544,,,,0.003968,0.01339,0.0020445,0.03654,0.00441,,,,0.1987,,,0.01743,0.00332
108,2020-04-19,7120.74,3.5902,0.1712,,,0.5799,180.03,0.18901,,,,0.003904,0.0129,0.0020313,0.03549,0.00424,,,,0.1875,,,0.01692,0.00327
109,2020-04-20,6826.83,3.4322,0.1677,,,0.5423,170.2,0.18151,,,,0.003644,0.0124,0.0019787,0.03391,0.00403,,,,0.1765,,,0.01607,0.00294
110,2020-04-21,6841.37,3.4577,0.1683,,,0.5621,170.74,0.18341,,,,0.003677,0.01249,0.00195,0.03454,0.00412,,,,0.1776,,,0.01609,0.00296
111,2020-04-22,7125.14,3.6786,0.1711,,,0.5777,182.7,0.18804,,,,0.003898,0.01298,0.0019957,0.03664,0.00422,,,,0.1872,,,0.0168,0.00318
